date,bank_rate,page_image,weekday,is_business_day
1890-10-01,5.0,C1-38_063,Wednesday,True
1890-10-02,5.0,C1-38_063,Thursday,True
1890-10-03,5.0,C1-38_063,Friday,True
1890-10-04,5.0,C1-38_063,Saturday,True
1890-10-05,5.0,C1-38_063,Sunday,False
1890-10-06,5.0,C1-38_063,Monday,True
1890-10-07,5.0,C1-38_063,Tuesday,True
1890-10-08,5.0,C1-38_064,Wednesday,True
1890-10-09,5.0,C1-38_064,Thursday,True
1890-10-10,5.0,C1-38_064,Friday,True
1890-10-11,5.0,C1-38_064,Saturday,True
1890-10-12,5.0,C1-38_064,Sunday,False
1890-10-13,5.0,C1-38_064,Monday,True
1890-10-14,5.0,C1-38_064,Tuesday,True
1890-10-15,5.0,C1-38_065,Wednesday,True
1890-10-16,5.0,C1-38_065,Thursday,True
1890-10-17,5.0,C1-38_065,Friday,True
1890-10-18,5.0,C1-38_065,Saturday,True
1890-10-19,5.0,C1-38_065,Sunday,False
1890-10-20,5.0,C1-38_065,Monday,True
1890-10-21,5.0,C1-38_065,Tuesday,True
1890-10-22,5.0,C1-38_066,Wednesday,True
1890-10-23,5.0,C1-38_066,Thursday,True
1890-10-24,5.0,C1-38_066,Friday,True
1890-10-25,5.0,C1-38_066,Saturday,True
1890-10-26,5.0,C1-38_066,Sunday,False
1890-10-27,5.0,C1-38_066,Monday,True
1890-10-28,5.0,C1-38_066,Tuesday,True
1890-10-29,5.0,C1-38_067,Wednesday,True
1890-10-30,5.0,C1-38_067,Thursday,True
1890-10-31,5.0,C1-38_067,Friday,True
1890-11-01,5.0,C1-38_067,Saturday,True
1890-11-02,5.0,C1-38_067,Sunday,False
1890-11-03,5.0,C1-38_067,Monday,True
1890-11-04,5.0,C1-38_067,Tuesday,True
1890-11-05,5.0,C1-38_068,Wednesday,True
1890-11-06,5.0,C1-38_068,Thursday,True
1890-11-07,6.0,C1-38_068,Friday,True
1890-11-08,6.0,C1-38_068,Saturday,True
1890-11-09,6.0,C1-38_068,Sunday,False
1890-11-10,6.0,C1-38_068,Monday,True
1890-11-11,6.0,C1-38_068,Tuesday,True
1890-11-12,6.0,C1-38_069,Wednesday,True
1890-11-13,6.0,C1-38_069,Thursday,True
1890-11-14,6.0,C1-38_069,Friday,True
1890-11-15,6.0,C1-38_069,Saturday,True
1890-11-16,6.0,C1-38_069,Sunday,False
1890-11-17,6.0,C1-38_069,Monday,True
1890-11-18,6.0,C1-38_069,Tuesday,True
1890-11-19,6.0,C1-38_070,Wednesday,True
1890-11-20,6.0,C1-38_070,Thursday,True
1890-11-21,6.0,C1-38_070,Friday,True
1890-11-22,6.0,C1-38_070,Saturday,True
1890-11-23,6.0,C1-38_070,Sunday,False
1890-11-24,6.0,C1-38_070,Monday,True
1890-11-25,6.0,C1-38_070,Tuesday,True
1890-11-26,6.0,C1-38_071,Wednesday,True
1890-11-27,6.0,C1-38_071,Thursday,True
1890-11-28,6.0,C1-38_071,Friday,True
1890-11-29,6.0,C1-38_071,Saturday,True
1890-11-30,6.0,C1-38_071,Sunday,False
1890-12-01,6.0,C1-38_071,Monday,True
1890-12-02,6.0,C1-38_071,Tuesday,True
1890-12-03,6.0,C1-38_072,Wednesday,True
1890-12-04,5.0,C1-38_072,Thursday,True
1890-12-05,5.0,C1-38_072,Friday,True
1890-12-06,5.0,C1-38_072,Saturday,True
1890-12-07,5.0,C1-38_072,Sunday,False
1890-12-08,5.0,C1-38_072,Monday,True
1890-12-09,5.0,C1-38_072,Tuesday,True
1890-12-10,5.0,C1-38_073,Wednesday,True
1890-12-11,5.0,C1-38_073,Thursday,True
1890-12-12,5.0,C1-38_073,Friday,True
1890-12-13,5.0,C1-38_073,Saturday,True
1890-12-14,5.0,C1-38_073,Sunday,False
1890-12-15,5.0,C1-38_073,Monday,True
1890-12-16,5.0,C1-38_073,Tuesday,True
1890-12-17,5.0,C1-38_074,Wednesday,True
1890-12-18,5.0,C1-38_074,Thursday,True
1890-12-19,5.0,C1-38_074,Friday,True
1890-12-20,5.0,C1-38_074,Saturday,True
1890-12-21,5.0,C1-38_074,Sunday,False
1890-12-22,5.0,C1-38_074,Monday,True
1890-12-23,5.0,C1-38_074,Tuesday,True
1890-12-24,5.0,C1-38_075,Wednesday,True
1890-12-25,5.0,C1-38_075,Thursday,True
1890-12-26,5.0,C1-38_075,Friday,True
1890-12-27,5.0,C1-38_075,Saturday,True
1890-12-28,5.0,C1-38_075,Sunday,False
1890-12-29,5.0,C1-38_075,Monday,True
1890-12-30,5.0,C1-38_075,Tuesday,True
1890-12-31,5.0,,Wednesday,True
