date,day_of_week,page_image,bank_rate,bank_rate_d1,bank_rate_model,bank_rate_model_mismatch,banking_total_assets_m,banking_reserve_notes_coin_m,issue_notes_total_m,issue_bullion_total_m,reserve_proportion,confidence,notes,data_source,validation_basis
1890-10-01,Wednesday,C1-38_063,5.0,5.0,5,False,51.575,11.122,35.596,19.126,33.5,medium,"Public deposits split into Exchequer 695, Other Public 1752, Council of India 567, Supreme Court 409, Bankers 12391. Aggregated public deposits not summed on page. Operations side does not include Wednesday Oct 1.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-02,Thursday,C1-38_063,5.0,5.0,5,False,50.61,10.879,35.483,19.083,33.7,medium,"Public deposit breakdown: Exchequer 1121, Other Public 1501, Council of India 592, Supreme Court 409, Bankers 11256.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-03,Friday,C1-38_063,5.0,5.0,5,False,50.151,10.444,35.258,18.808,32.9,medium,"Exchequer 1249, Other Public 1155, Council of India 612, Supreme Court 426, Bankers 11065.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-04,Saturday,C1-38_063,5.0,5.0,5,False,53.438,10.492,35.09,18.64,29.3,medium,"Audit Roll 2586, Exchequer 1544, Other Public 2272, Council 545, Supreme Court 413, Bankers 10360.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-06,Monday,C1-38_063,5.0,5.0,5,False,52.367,10.542,35.144,18.694,30.3,medium,"Audit Roll 391, Exchequer 1716, Other Public 1630, Council 556, Supreme Court 862, Bankers 12160.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-07,Tuesday,C1-38_063,5.0,5.0,5,False,51.867,10.547,35.049,18.599,31.2,medium,"Audit Roll 515, Exchequer 1346, Other Public 1689, Council 582, Supreme Court 822, Bankers 11812.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-08,Wednesday,C1-38_064,5.0,5.0,5,False,51.284,10.591,35.049,18.599,31.5,medium,"Wednesday is balances-only here; operations columns start Thursday. Public deposits row computed from header sum '4653' but individual lines: Audit Roll 400, Exchequer 380, Other Public 1410, Council India 1513, Supreme Court 558. Some values uncertain.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-09,Thursday,C1-38_064,5.0,5.0,5,False,51.461,10.731,35.103,18.653,31.7,medium,Public/other deposits aggregate columns hard to read individually.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-10,Friday,C1-38_064,5.0,5.0,5,False,51.589,10.529,34.96,18.51,31.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-11,Saturday,C1-38_064,5.0,5.0,5,False,50.794,10.455,34.898,18.448,31.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-13,Monday,C1-38_064,5.0,5.0,5,False,50.892,10.995,35.05,18.6,32.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-14,Tuesday,C1-38_064,5.0,5.0,5,False,51.064,10.99,35.276,18.826,32.9,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-15,Wednesday,C1-38_065,5.0,5.0,5,False,51.533,11.194,35.324,18.874,33.5,medium,"Wednesday only appears on Balances side, not Operations. Public deposits broken into sub-rows; not summing.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-16,Thursday,C1-38_065,5.0,5.0,5,False,51.438,11.28,35.283,18.833,33.4,medium,Advances total 311 may include B/S/C sub-components.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-17,Friday,C1-38_065,5.0,5.0,5,False,50.977,11.041,35.208,18.758,33.1,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-18,Saturday,C1-38_065,5.0,5.0,5,False,50.533,11.182,35.104,18.654,34.0,medium,London discounts cell appears blank.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-20,Monday,C1-38_065,5.0,5.0,5,False,50.353,11.28,35.126,18.676,34.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-21,Tuesday,C1-38_065,5.0,5.0,5,False,50.802,11.354,35.069,18.619,34.3,medium,Advances total 160 may not match sub-rows; possibly partial.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-22,Wednesday,C1-38_066,5.0,5.0,5,False,50.672,11.519,35.102,18.652,34.9,medium,"Wednesday is balance-only; operations columns start Thursday. Public Deposits row not clearly read (Exchequer 1056, Other Public 1438, Council 563, Supreme 327, Bankers 12856).",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-23,Thursday,C1-38_066,5.0,5.0,5,False,50.402,11.545,35.097,18.647,35.3,medium,Public deposits sub-rows visible but composite not summed here.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-24,Friday,C1-38_066,5.0,5.0,5,False,50.235,11.324,35.063,18.613,34.8,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-25,Saturday,C1-38_066,5.0,5.0,5,False,50.199,11.527,35.068,18.618,35.4,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-27,Monday,C1-38_066,5.0,5.0,5,False,50.304,11.461,35.115,18.665,35.1,low,ops_total_advances reading unclear,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-28,Tuesday,C1-38_066,5.0,5.0,5,False,50.267,11.443,35.099,18.629,35.1,medium,London discount cell appears blank,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-29,Wednesday,C1-38_067,5.0,5.0,5,False,50.553,11.603,35.207,18.757,35.3,medium,Wednesday is the prior-week column on operations side; ops fields begin Thursday.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-30,Thursday,C1-38_067,5.0,5.0,5,False,50.298,11.339,35.146,18.696,34.7,medium,London discounts column blank for this day,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-10-31,Friday,C1-38_067,5.0,5.0,5,False,50.516,11.195,35.185,18.735,34.1,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-01,Saturday,C1-38_067,5.0,5.0,5,False,49.92,11.169,35.051,18.601,34.7,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-03,Monday,C1-38_067,5.0,5.0,5,False,49.868,11.181,35.062,18.612,34.7,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-04,Tuesday,C1-38_067,5.0,5.0,5,False,49.866,11.142,34.989,18.539,34.6,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-05,Wednesday,C1-38_068,5.0,5.0,5,False,49.832,11.206,35.026,18.576,34.9,medium,Wednesday is balances-only column; operations columns begin Thursday 6th. Public deposits row split into Exchequer/Other/Council/Supreme Court — not aggregated.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-06,Thursday,C1-38_068,5.0,5.0,5,False,49.908,11.205,34.867,18.417,34.8,medium,ops_total_advances reads 137 (sum row 'Advances total').,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-07,Friday,C1-38_068,6.0,6.0,5,True,49.013,10.551,34.33,17.88,33.7,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-08,Saturday,C1-38_068,6.0,6.0,5,True,48.876,10.815,34.352,17.902,34.7,medium,Other deposits Sat reads 16595 actually; revising — uncertain between 16737 and 16595.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-10,Monday,C1-38_068,6.0,6.0,5,True,49.493,10.879,34.377,17.927,34.2,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-11,Tuesday,C1-38_068,6.0,6.0,6,False,49.967,10.922,34.387,17.937,33.8,medium,Bank rate appears to have risen to 6% — header shows '5%-6%' with separate '6%' notation.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-12,Wednesday,C1-38_069,6.0,6.0,6,False,51.123,,34.508,18.058,33.2,medium,Wednesday 12 Nov is a Balances column only; no Operations column for this date on this spread. Public/Private deposit subtotal cells stacked; left them null to avoid misassignment.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-13,Thursday,C1-38_069,6.0,6.0,6,False,52.464,,34.473,18.023,32.0,medium,"Several Operations sub-rows have multiple subcategory entries (L/C, B/S) — only the clearly legible ones recorded.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-14,Friday,C1-38_069,6.0,6.0,6,False,53.611,,35.501,19.051,33.3,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-15,Saturday,C1-38_069,6.0,6.0,6,False,55.518,,36.546,20.096,35.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-17,Monday,C1-38_069,6.0,6.0,6,False,56.192,,36.608,20.158,34.3,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-18,Tuesday,C1-38_069,6.0,6.0,6,False,57.381,,36.786,20.336,33.9,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-19,Wednesday,C1-38_070,6.0,6.0,6,False,58.466,14.552,37.835,21.385,26.0,medium,Wednesday is balances only; operations start Thursday. Public/Other deposits not cleanly split into a single column row - given as Bankers 15734 / Other Private 20631 etc.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-20,Thursday,C1-38_070,6.0,6.0,6,False,58.0,14.612,38.072,21.622,35.8,medium,ops_total_discounts and advances totals show + or - variations not clear-cut totals.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-21,Friday,C1-38_070,6.0,6.0,6,False,57.355,14.41,38.129,21.679,36.3,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-22,Saturday,C1-38_070,6.0,6.0,6,False,56.558,14.698,38.208,21.958,36.4,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-24,Monday,C1-38_070,6.0,6.0,6,False,55.705,14.765,38.234,21.784,39.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-25,Tuesday,C1-38_070,6.0,6.0,6,False,55.634,16.282,39.637,23.387,43.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-26,Wednesday,C1-38_071,6.0,6.0,6,False,56.817,16.502,39.94,23.49,42.8,medium,"Wednesday is balances-only column; operations begin Thursday. Public deposits total 3438 shown in summary row; individual subcategories: Exchequer 1342, Other Public 1561, Council of India 532, Supreme Court 320.",vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-27,Thursday,C1-38_071,6.0,6.0,6,False,56.669,16.503,39.93,23.48,42.5,medium,Exchequer 1342? actually 1342; figures legible.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-28,Friday,C1-38_071,6.0,6.0,6,False,56.395,16.298,39.96,23.519,42.2,medium,Some advances totals approximated from handwriting.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-11-29,Saturday,C1-38_071,6.0,6.0,6,False,55.68,16.451,39.953,23.503,43.4,low,Reserve % reading uncertain (could be 43.4 or 48.4).,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-01,Monday,C1-38_071,6.0,6.0,6,False,55.31,16.513,39.995,23.545,44.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-02,Tuesday,C1-38_071,6.0,6.0,6,False,55.019,16.555,40.192,23.742,44.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-03,Wednesday,C1-38_072,6.0,6.0,5,True,54.585,16.873,40.213,23.963,45.2,medium,Wednesday is a balances-only column (operations starts Thursday). Bank rate header shows 6% crossed/overlaid with 5% in red.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-04,Thursday,C1-38_072,5.0,5.0,5,False,55.233,17.464,40.977,24.527,46.6,medium,Public deposits subtotal column hard to read individually.,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-05,Friday,C1-38_072,5.0,5.0,5,False,54.698,17.363,40.903,24.453,47.0,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
1890-12-06,Saturday,C1-38_072,5.0,5.0,5,False,54.548,17.481,40.914,24.464,49.5,medium,,vision-LLM (claude-opus-4-7) + Millennium D1 for Bank Rate,Wednesday weekly anchor against boe_balance_sheet.parquet at 1% tolerance
