date,day_of_week,minimum_discount_rate,reserve_proportion,banking_reserve_notes_coin_m,banking_total_assets_m,issue_notes_total_m,issue_bullion_total_m
1890-10-01,Wednesday,5,33.5,11.122,51.575,35.596,19.126
1890-10-02,Thursday,5,33.7,10.879,50.61,35.483,19.083
1890-10-03,Friday,5,32.9,10.444,50.151,35.258,18.808
1890-10-04,Saturday,5,29.3,10.492,53.438,35.09,18.64
1890-10-06,Monday,5,30.3,10.542,52.367,35.144,18.694
1890-10-07,Tuesday,5,31.2,10.547,51.867,35.049,18.599
1890-10-08,Wednesday,5,31.5,10.591,51.284,35.049,18.599
1890-10-09,Thursday,5,31.7,10.731,51.461,35.103,18.653
1890-10-10,Friday,5,31.0,10.529,51.589,34.96,18.51
1890-10-11,Saturday,5,31.5,10.455,50.794,34.898,18.448
1890-10-13,Monday,5,32.5,10.995,50.892,35.05,18.6
1890-10-14,Tuesday,5,32.9,10.99,51.064,35.276,18.826
1890-10-15,Wednesday,5,33.5,11.194,51.533,35.324,18.874
1890-10-16,Thursday,5,33.4,11.28,51.438,35.283,18.833
1890-10-17,Friday,5,33.1,11.041,50.977,35.208,18.758
1890-10-18,Saturday,5,34.0,11.182,50.533,35.104,18.654
1890-10-20,Monday,5,34.5,11.28,50.353,35.126,18.676
1890-10-21,Tuesday,5,34.3,11.354,50.802,35.069,18.619
1890-10-22,Wednesday,5,,,,,
1890-10-22,Wednesday,5,34.9,11.519,50.672,35.102,18.652
1890-10-23,Thursday,5,35.3,11.545,50.402,35.097,18.647
1890-10-24,Friday,5,34.8,11.324,50.235,35.063,18.613
1890-10-25,Saturday,5,35.4,11.527,50.199,35.068,18.618
1890-10-27,Monday,5,35.1,11.461,50.304,35.115,18.665
1890-10-28,Tuesday,5,35.1,11.443,50.267,35.099,18.629
1890-10-29,Wednesday,5,35.3,11.603,50.553,35.207,18.757
1890-10-30,Thursday,5,34.7,11.339,50.298,35.146,18.696
1890-10-31,Friday,5,34.1,11.195,50.516,35.185,18.735
1890-11-01,Saturday,5,34.7,11.169,49.92,35.051,18.601
1890-11-03,Monday,5,34.7,11.181,49.868,35.062,18.612
1890-11-04,Tuesday,5,34.6,11.142,49.866,34.989,18.539
1890-11-05,Wednesday,5,34.9,11.206,49.832,35.026,18.576
1890-11-06,Thursday,5,34.8,11.205,49.908,34.867,18.417
1890-11-07,Friday,5,33.7,10.551,49.013,34.33,17.88
1890-11-08,Saturday,5,34.7,10.815,48.876,34.352,17.902
1890-11-10,Monday,5,34.2,10.879,49.493,34.377,17.927
1890-11-11,Tuesday,6,33.8,10.922,49.967,34.387,17.937
1890-11-12,Wednesday,6,,,,,
1890-11-12,Wednesday,6,33.2,,51.123,34.508,18.058
