page_image,canvas,balances_range,operations_range,annotation,ocr_status,ocr_mean_confidence,image_sha256,weekly_anchor_date,weekly_anchor_reserve_m,weekly_anchor_crisis_lending_m,weekly_anchor_bank_rate_pct,weekly_anchor_reserve_proportion
C1-38_063,62,1890-10-01 to 1890-10-07,1890-10-02 to 1890-10-08,,ok,37.6,37005c906aa57f23814a647384684059c4f7e7abe08aaeb438c26f3003b69957,1890-10-01,11.121,25.375,5.0,0.335
C1-38_064,63,1890-10-08 to 1890-10-14,1890-10-09 to 1890-10-15,,ok,41.6,9e93b7f4b34b1bda72e3d837b69a095aff064177bd81e6705659e963bfd69faa,1890-10-08,10.591,19.922,5.0,0.315
C1-38_065,64,1890-10-15 to 1890-10-21,1890-10-16 to 1890-10-22,,ok,40.6,fd29dd1cbe048dea2f7e1f041aaaee35f6cafc534fdbe5145a5e65c296704c35,1890-10-15,11.194,19.424,5.0,0.331
C1-38_066,65,1890-10-22 to 1890-10-28,1890-10-23 to 1890-10-29,,ok,41.1,135c463920130f7ec9c4558edfdda5876c9946e12d84c3e7ad414a81bab3847b,1890-10-22,11.519,18.946,5.0,0.349
C1-38_067,66,1890-10-29 to 1890-11-04,1890-10-30 to 1890-11-05,,ok,40.2,3ddd356fd0dcf0bb1e47ba749eb3b0238fc8536327ba5c40193e35ed9fbc5b20,1890-10-29,11.603,19.291,5.0,0.353
C1-38_068,67,1890-11-04 to 1890-11-11,1890-11-05 to 1890-11-12,,ok,38.3,f59919d54e1bb9170b2e556476b2fa47bead7403090c9aad78ee00aeeb05de89,1890-11-05,11.206,20.271,5.0,0.349
C1-38_069,68,1890-11-12 to 1890-11-18,1890-11-13 to 1890-11-19,Saturday Nov 15 1890 is the day the Lidderdale Guarantee Fund was finalised,ok,38.7,9249f6160860d40ddca550050070c2bbb708690b48351a45903947111acb5560,1890-11-12,11.105,22.783,6.0,0.333
C1-38_070,69,1890-11-19 to 1890-11-25,1890-11-20 to 1890-11-26,,ok,38.4,96f8238b613e8bd7a214fd8800516ec433731184e2c38ee45049126db3a102c9,1890-11-19,14.551,33.563,6.0,0.358
C1-38_071,70,1890-11-26 to 1890-12-02,1890-11-27 to 1890-12-03,,ok,41.5,b48eee02967561a032562f77f735a049e451a561d149a1a39613cb729bd002ef,1890-11-26,16.502,30.722,6.0,0.423
C1-38_072,71,1890-12-03 to 1890-12-09,1890-12-04 to 1890-12-10,,ok,38.1,832f3f7bbe03d6b3b47c14b65ec0642690680a5b38fd7340d9c9a39fd6d7462c,1890-12-03,16.673,26.853,6.0,0.453
C1-38_073,72,1890-12-10 to 1890-12-16,1890-12-11 to 1890-12-17,,ok,42.5,9cf80fff927765ffcf26caf7b25b0a89d476ac57dd4a4fdc2610066d9c254aab,1890-12-10,17.007,26.64,5.0,0.463
C1-38_074,73,1890-12-17 to 1890-12-23,1890-12-18 to 1890-12-24,,ok,39.3,36983b7de9990adaf04052334bc137815b7deef67acef7fc98304dd54b5ca4a8,1890-12-17,16.763,29.075,5.0,0.444
C1-38_075,74,1890-12-24 to 1890-12-30,1890-12-25 to 1890-12-31,,ok,36.5,a4b410be7e2f2cfcd5932fd860fc632ea2207840bb3e182752d9b7d1ba280a0a,1890-12-24,14.895,29.543,5.0,0.416
