date,weekday,bank_rate_millennium_d1,page_image,issue_total_coin_bullion_m,issue_total_govt_securities_m,issue_other_securities_m,notes_in_circulation_m,banking_govt_securities_m,banking_discounts_total_m,banking_advances_total_m,banking_other_securities_m,banking_reserve_notes_coin_m,public_deposits_m,other_deposits_m,reserve_proportion,bank_rate_from_ledger_pct,ocr_confidence,transcription_method,transcriber_notes
1890-10-01,Wednesday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-02,Thursday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-03,Friday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-04,Saturday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-06,Monday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-07,Tuesday,5.0,C1-38_063,,,,,,,,,,,,,,,,
1890-10-08,Wednesday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-09,Thursday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-10,Friday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-11,Saturday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-13,Monday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-14,Tuesday,5.0,C1-38_064,,,,,,,,,,,,,,,,
1890-10-15,Wednesday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-16,Thursday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-17,Friday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-18,Saturday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-20,Monday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-21,Tuesday,5.0,C1-38_065,,,,,,,,,,,,,,,,
1890-10-22,Wednesday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-23,Thursday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-24,Friday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-25,Saturday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-27,Monday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-28,Tuesday,5.0,C1-38_066,,,,,,,,,,,,,,,,
1890-10-29,Wednesday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-10-30,Thursday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-10-31,Friday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-11-01,Saturday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-11-03,Monday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-11-04,Tuesday,5.0,C1-38_067,,,,,,,,,,,,,,,,
1890-11-05,Wednesday,5.0,C1-38_068,,,,,,,,,,,,,,,,
1890-11-06,Thursday,5.0,C1-38_068,,,,,,,,,,,,,,,,
1890-11-07,Friday,6.0,C1-38_068,,,,,,,,,,,,,,,,
1890-11-08,Saturday,6.0,C1-38_068,,,,,,,,,,,,,,,,
1890-11-10,Monday,6.0,C1-38_068,,,,,,,,,,,,,,,,
