page_image,status,n_days_returned,balances_columns_count,operations_columns_count,page_notes,input_tokens,output_tokens
C1-38_063,ok,6,6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible.",6301,3002
C1-38_064,ok,6,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15).",6301,2657
C1-38_065,ok,7,6,6,"Minimum Rate of Discount: 5%. Balances side covers Wed Oct 15 – Tue Oct 21, 1890; Operations side covers Thu Oct 16 – Wed Oct 22, 1890. Margin annotations note imports/exports of gold (To Lisbon 100, To Ireland 110, To Hamburg 25, To S America). Red ink annotations in left margin show running variations (e.g., +460, -479). Public deposits row split into Audit Roll/Exchequer/Other Public/Council of India/Supreme Court sub-rows; aggregate not transcribed. Bankers and Other Private Deposits split similarly. Discounts and Advances rows in Operations split into L/C and B/S/C sub-rows; totals as labelled in 'Total Discounts' and 'Total Advances' rows transcribed.",6301,3146
C1-38_066,ok,6,6,6,"Operations side includes an extra column for Wednesday 29 Oct and a Week's Total column, so it spans Thu 23 to Wed 29. Annotations in margins reference imports/exports (Lisbon, Australia, Scotland, Ireland, Egypt). Note on banking dept: 'short issue to Audit Roll' with values 200/100/100/50/50/50 across days. Minimum Rate of Discount = 5%.",6301,2650
C1-38_067,ok,6,6,6,"Minimum rate of discount 5% at top-left. Balances side covers Wed Oct 29 to Tue Nov 4, 1890. Operations side is offset by one day (Thu Oct 30 to Wed Nov 5). Wednesday Nov 5 operations column data not included in 'days' array since balances side does not include that day. Wed Nov 5 ops: London disc 20, Country disc 20, advances London 100, Country 394, clearing 26214. Marginal notes record bullion movements 'To Scotland 100', 'To Ireland 50', 'To Lisbon 50', 'To S.America 49', 'Imports 28', 'Exports 99', 'Net Decrease of Notes 264'.",6301,2706
C1-38_068,ok,7,6,6,"Header shows 'Minimum Rate of Discount 5%-6%' with a separate '6%' annotation, indicating a rate change during the week (5% → 6%). The Banking Department 'Public Deposits' is broken into Exchequer / Other Public Deposits / Council of India / Supreme Court rows — no single aggregate column on this page, so banking_public_deposits left null. Discount and Advance subtotal rows on the Balances side are split into London/Country and were not aggregated here. Annotations on Operations side note gold movements: 'To Paris 90', 'To Scotland', 'To Ireland 100', 'To Bolivia 5', 'From Australia', etc. Operations columns cover Thu 6 Nov through Wed 12 Nov; Balances columns cover Wed 5 Nov through Tue 11 Nov.",6301,3195
C1-38_069,ok,7,6,6,"Minimum Rate of Discount written as 6% at top-left. Balances columns: Wed 12 – Tue 18 Nov 1890 (Sunday 16 omitted). Operations columns: Thu 13 – Wed 19 Nov 1890, with a 'Week's Total' summary column at far right. Many sub-line items (Public/Private deposit breakdowns, Discounts L/C, Advances B/S/C) are split into multiple rows; only legible top-level figures recorded with confidence. Marginal notes in red ink reference imports/exports (Continent, Lisbon, S. America, Scotland, Ireland) but no rate change annotation visible.",6301,3069
C1-38_070,ok,7,6,6,"Minimum Rate of Discount shown as 6% at top-left. Balances cover Wed 19 Nov - Tue 25 Nov 1890; Operations cover Thu 20 Nov - Wed 26 Nov 1890. The Banking Department deposits are broken into sub-rows (Exchequer, Other Public Deposits, Council of India, Supreme Court, Bankers, Other Private Deposits) rather than aggregated Public/Other Deposits totals, so combined public_deposits/other_deposits totals not transcribed. Discounts and Advances on balances side split into London/Country sub-rows. Operations side shows daily +/- variations rather than absolute totals for several totals rows; values reported are the on-side figures (e.g. 'on' discounts/advances). Red-ink annotations on operations side reference imports/exports of coin from Paris, Buenos Aires, Bolivia, S America, Scotland, Ireland.",6301,3169
C1-38_071,ok,6,6,6,"Minimum Rate of Discount 6%. Operations side has 6 columns spanning Thursday Nov 27 to Wednesday Dec 3, plus a Week's Total column. Balances side covers Wed Nov 26 to Tue Dec 2. Red-ink marginal notes show gold movements to/from Mint, Lisbon, Portugal, Brazil, etc. Many subcategory rows (Exchequer, Council of India, Bankers, Other Private Deposits, etc.) are legible but only the aggregate fields requested in schema are populated where confident.",6301,2688
C1-38_072,ok,6,6,6,"Header shows 'Minimum Rate of Discount 6%' with '5%' annotated in red above the Wednesday column, indicating a rate change during the week (the new 5% rate applies from a point in this week). Operations side has an extra Wednesday (Dec 10) column making operations cover Thu Dec 4 – Wed Dec 10, with a 'Week's Total' final column. Many subtotal/public-deposit individual rows hard to disambiguate at this resolution; left as null where unclear.",6301,2598
