page_image,date_range_visible,date,day_of_week,banking_public_deposits,banking_other_deposits,banking_seven_day_bills,banking_govt_securities,banking_other_securities,banking_discounts,banking_advances,banking_reserve_notes_coin,banking_total_assets,reserve_proportion,issue_notes_total,issue_bullion_total,issue_govt_securities,issue_other_securities,ops_london_discounts,ops_country_discounts,ops_total_discounts,ops_london_advances,ops_country_advances,ops_total_advances,clearing_house_total,minimum_discount_rate,confidence,notes,balances_columns_count,operations_columns_count,page_notes
C1-38_063,1890-10-01 to 1890-10-07,1890-10-01,Wednesday,,16652.0,234.0,13999.0,10723.0,2326.0,8279.0,11122.0,51575.0,33.5,35596.0,19126.0,,,,,,,,,,5,medium,"Public deposits split into Exchequer 695, Other Public 1752, Council of India 567, Supreme Court 409, Bankers 12391. Aggregated public deposits not summed on page. Operations side does not include Wednesday Oct 1.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_063,1890-10-01 to 1890-10-07,1890-10-02,Thursday,,16911.0,225.0,13999.0,10718.0,2290.0,7559.0,10879.0,50610.0,33.7,35483.0,19083.0,,,54.0,14.0,,122.0,144.0,,25966.0,5,medium,"Public deposit breakdown: Exchequer 1121, Other Public 1501, Council of India 592, Supreme Court 409, Bankers 11256.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_063,1890-10-01 to 1890-10-07,1890-10-03,Friday,,16888.0,225.0,13999.0,10718.0,2184.0,7653.0,10444.0,50151.0,32.9,35258.0,18808.0,,,37.0,53.0,80.0,114.0,72.0,60.0,24422.0,5,medium,"Exchequer 1249, Other Public 1155, Council of India 612, Supreme Court 426, Bankers 11065.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_063,1890-10-01 to 1890-10-07,1890-10-04,Saturday,,17768.0,225.0,13999.0,10718.0,2137.0,7788.0,10492.0,53438.0,29.3,35090.0,18640.0,,,82.0,19.0,121.0,372.0,77.0,176.0,23445.0,5,medium,"Audit Roll 2586, Exchequer 1544, Other Public 2272, Council 545, Supreme Court 413, Bankers 10360.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_063,1890-10-01 to 1890-10-07,1890-10-06,Monday,,17222.0,225.0,13999.0,10718.0,2117.0,6742.0,10542.0,52367.0,30.3,35144.0,18694.0,,,3.0,7.0,24.0,72.0,32.0,1020.0,22000.0,5,medium,"Audit Roll 391, Exchequer 1716, Other Public 1630, Council 556, Supreme Court 862, Bankers 12160.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_063,1890-10-01 to 1890-10-07,1890-10-07,Tuesday,,17251.0,225.0,13999.0,10718.0,2016.0,6565.0,10547.0,51867.0,31.2,35049.0,18599.0,,,2.0,31.0,92.0,277.0,66.0,475.0,21866.0,5,medium,"Audit Roll 515, Exchequer 1346, Other Public 1689, Council 582, Supreme Court 822, Bankers 11812.",6,6,"Minimum Rate of Discount = 5%. Balances side covers Wed Oct 1 to Tue Oct 7, 1890 (Sunday Oct 5 omitted). Operations side covers Thu Oct 2 to Wed Oct 8, 1890. Red ink annotation 'Short issue to Audit Roll' next to Banking Department. Issue Dept bullion notes mention shipments: To Cape 150, To Egypt 25, To Lisbon 50, To Malta 10, To Brazil 31, To Alexandria 30. Imports 109, Exports 286. Public deposits sub-rows present (Audit Roll, Exchequer, Other Public, Council of India, Supreme Court) but no single 'Public Deposits' total written; left null. Govt and Other Securities in Issue Dept not separately tabulated on this page. Some operations totals partially illegible."
C1-38_064,1890-10-08 to 1890-10-14,1890-10-08,Wednesday,4273.0,28693.0,261.0,13999.0,10718.0,1989.0,5723.0,10591.0,51284.0,31.5,35049.0,18599.0,,,,,,,,,,5,medium,"Wednesday is balances-only here; operations columns start Thursday. Public deposits row computed from header sum '4653' but individual lines: Audit Roll 400, Exchequer 380, Other Public 1410, Council India 1513, Supreme Court 558. Some values uncertain.",6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
C1-38_064,1890-10-08 to 1890-10-14,1890-10-09,Thursday,,,25.0,13999.0,10718.0,2025.0,5949.0,10731.0,51461.0,31.7,35103.0,18653.0,,,80.0,15.0,95.0,140.0,11.0,153.0,19566.0,5,medium,Public/other deposits aggregate columns hard to read individually.,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
C1-38_064,1890-10-08 to 1890-10-14,1890-10-10,Friday,,,25.0,13999.0,10718.0,2279.0,5849.0,10529.0,51589.0,31.0,34960.0,18510.0,,,367.0,51.0,418.0,629.0,381.0,907.0,60501.0,5,medium,,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
C1-38_064,1890-10-08 to 1890-10-14,1890-10-11,Saturday,,,25.0,13999.0,10718.0,2224.0,5530.0,10455.0,50794.0,31.5,34898.0,18448.0,,,2.0,30.0,32.0,6.0,408.0,726.0,23272.0,5,medium,,6,6,"Minimum Rate of Discount is 5%. Marginal annotation 'Short issue to Audit Roll' in red ink near Banking Department header. Annotations include 'To Egypt 50', 'Fr Australia 187', 'Imports 187', 'Exports 50', 'Total decrease 19'. Wednesday Oct 8 is the only balances date without corresponding operations column (operations begin Thursday Oct 9 and end Wednesday Oct 15)."
