crisis,metric,crisis_value,placebo_mean,placebo_95th,placebo_max,percentile_of_crisis
1857,n_z_flags,6.0,2.886,6.0,11.0,95.2
1857,n_iso_flags,10.0,1.103,4.0,5.0,100.0
1857,n_any_flag,10.0,3.07,7.0,11.0,99.8
1857,max_abs_z,9.46,8.323,19.486,33.714,69.6
1857,max_iso_score,0.859,0.468,0.782,0.844,100.0
1866,n_z_flags,4.0,2.886,6.0,11.0,83.5
1866,n_iso_flags,6.0,1.103,4.0,5.0,100.0
1866,n_any_flag,6.0,3.07,7.0,11.0,94.5
1866,max_abs_z,67.01,8.323,19.486,33.714,100.0
1866,max_iso_score,1.0,0.468,0.782,0.844,100.0
1890,n_z_flags,1.0,2.886,6.0,11.0,23.8
1890,n_iso_flags,1.0,1.103,4.0,5.0,71.4
1890,n_any_flag,1.0,3.07,7.0,11.0,21.1
1890,max_abs_z,6.14,8.323,19.486,33.714,49.0
1890,max_iso_score,0.546,0.468,0.782,0.844,67.3
1914,n_z_flags,6.0,2.886,6.0,11.0,95.2
1914,n_iso_flags,4.0,1.103,4.0,5.0,98.2
1914,n_any_flag,6.0,3.07,7.0,11.0,94.5
1914,max_abs_z,29.88,8.323,19.486,33.714,98.4
1914,max_iso_score,0.976,0.468,0.782,0.844,100.0
