series,crisis,crisis_cp_count,placebo_mean,placebo_95th,placebo_max,placebo_percentile_of_crisis
crisis_lending_weekly,1857,0,0.04,0.0,1,96.2
crisis_lending_weekly,1866,0,0.04,0.0,1,96.2
crisis_lending_weekly,1890,1,0.04,0.0,1,100.0
crisis_lending_weekly,1914,1,0.04,0.0,1,100.0
reserve_weekly,1857,0,0.05,1.0,1,94.9
reserve_weekly,1866,0,0.05,1.0,1,94.9
reserve_weekly,1890,1,0.05,1.0,1,100.0
reserve_weekly,1914,1,0.05,1.0,1,100.0
reserve_ratio_weekly,1857,5,4.59,6.0,6,91.8
reserve_ratio_weekly,1866,5,4.59,6.0,6,91.8
reserve_ratio_weekly,1890,6,4.59,6.0,6,100.0
reserve_ratio_weekly,1914,5,4.59,6.0,6,91.8
bank_rate_daily,1857,5,2.6,6.0,8,94.4
bank_rate_daily,1866,4,2.6,6.0,8,89.0
bank_rate_daily,1890,6,2.6,6.0,8,98.3
bank_rate_daily,1914,2,2.6,6.0,8,50.5
