series,date,nearest_crisis,days_to_crisis_peak
bank_rate_daily,1855-04-05,1857,952
bank_rate_daily,1855-04-30,1857,927
bank_rate_daily,1855-06-14,1857,882
bank_rate_daily,1855-09-07,1857,797
bank_rate_daily,1855-09-27,1857,777
bank_rate_daily,1855-10-17,1857,757
bank_rate_daily,1856-05-19,1857,542
bank_rate_daily,1856-05-29,1857,532
bank_rate_daily,1856-06-23,1857,507
bank_rate_daily,1856-10-01,1857,407
bank_rate_daily,1856-10-26,1857,382
bank_rate_daily,1856-12-15,1857,332
bank_rate_daily,1857-03-30,1857,227
bank_rate_daily,1857-06-18,1857,147
bank_rate_daily,1857-07-13,1857,122
bank_rate_daily,1857-10-16,1857,27
bank_rate_daily,1857-11-10,1857,2
bank_rate_daily,1857-12-25,1857,43
bank_rate_daily,1858-01-09,1857,58
bank_rate_daily,1858-02-03,1857,83
bank_rate_daily,1858-12-10,1857,393
bank_rate_daily,1859-04-29,1857,533
bank_rate_daily,1859-06-03,1857,568
bank_rate_daily,1859-07-13,1857,608
bank_rate_daily,1860-01-29,1857,808
bank_rate_daily,1860-03-29,1857,868
bank_rate_daily,1860-05-23,1857,923
bank_rate_daily,1860-11-14,1857,1098
bank_rate_daily,1860-11-29,1857,1113
bank_rate_daily,1861-01-03,1857,1148
bank_rate_daily,1861-02-12,1857,1188
bank_rate_daily,1861-03-19,1857,1223
bank_rate_daily,1861-04-08,1857,1243
bank_rate_daily,1861-05-13,1857,1278
bank_rate_daily,1861-08-01,1857,1358
bank_rate_daily,1861-08-26,1857,1383
bank_rate_daily,1861-09-20,1857,1408
bank_rate_daily,1861-11-04,1857,1453
bank_rate_daily,1862-01-08,1857,1518
bank_rate_daily,1862-05-18,1866,1454
bank_rate_daily,1862-07-22,1866,1389
bank_rate_daily,1862-10-30,1866,1289
bank_rate_daily,1863-01-13,1866,1214
bank_rate_daily,1863-01-28,1866,1199
bank_rate_daily,1863-02-17,1866,1179
bank_rate_daily,1863-04-23,1866,1114
bank_rate_daily,1863-05-18,1866,1089
bank_rate_daily,1863-11-04,1866,919
bank_rate_daily,1863-11-29,1866,894
bank_rate_daily,1863-12-24,1866,869
bank_rate_daily,1864-01-18,1866,844
bank_rate_daily,1864-02-12,1866,819
bank_rate_daily,1864-02-22,1866,809
bank_rate_daily,1864-04-17,1866,754
bank_rate_daily,1864-05-02,1866,739
bank_rate_daily,1864-05-22,1866,719
bank_rate_daily,1864-06-16,1866,694
bank_rate_daily,1864-07-26,1866,654
bank_rate_daily,1864-08-05,1866,644
bank_rate_daily,1864-09-09,1866,609
bank_rate_daily,1864-11-08,1866,549
bank_rate_daily,1864-11-23,1866,534
bank_rate_daily,1864-12-13,1866,514
bank_rate_daily,1865-01-22,1866,474
bank_rate_daily,1865-03-03,1866,434
bank_rate_daily,1865-06-01,1866,344
bank_rate_daily,1865-07-31,1866,284
bank_rate_daily,1865-10-04,1866,219
bank_rate_daily,1865-11-23,1866,169
bank_rate_daily,1865-12-28,1866,134
bank_rate_daily,1866-01-02,1866,129
bank_rate_daily,1866-02-21,1866,79
bank_rate_daily,1866-03-13,1866,59
bank_rate_daily,1866-05-02,1866,9
bank_rate_daily,1866-05-12,1866,1
bank_rate_daily,1866-08-15,1866,96
bank_rate_daily,1866-09-04,1866,116
bank_rate_daily,1866-09-24,1866,136
bank_rate_daily,1866-11-08,1866,181
bank_rate_daily,1866-12-18,1866,221
bank_rate_daily,1867-02-06,1866,271
bank_rate_daily,1867-05-27,1866,381
bank_rate_daily,1867-07-26,1866,441
bank_rate_daily,1868-11-17,1866,921
bank_rate_daily,1868-12-02,1866,936
bank_rate_daily,1869-04-01,1866,1056
bank_rate_daily,1869-05-06,1866,1091
bank_rate_daily,1869-06-10,1866,1126
bank_rate_daily,1869-07-15,1866,1161
bank_rate_daily,1869-08-19,1866,1196
bank_rate_daily,1869-11-02,1866,1271
bank_rate_daily,1870-07-20,1866,1531
bank_rate_daily,1870-08-24,1866,1566
bank_rate_daily,1870-09-28,1866,1601
bank_rate_daily,1871-03-02,1866,1756
bank_rate_daily,1871-04-11,1866,1796
bank_rate_daily,1871-06-15,1866,1861
bank_rate_daily,1871-09-23,1866,1961
bank_rate_daily,1871-10-08,1866,1976
bank_rate_daily,1871-11-17,1866,2016
bank_rate_daily,1871-12-12,1866,2041
bank_rate_daily,1872-04-05,1866,2156
bank_rate_daily,1872-05-10,1866,2191
bank_rate_daily,1872-05-30,1866,2211
bank_rate_daily,1872-06-19,1866,2231
bank_rate_daily,1872-07-19,1866,2261
bank_rate_daily,1872-09-17,1866,2321
bank_rate_daily,1872-10-07,1866,2341
bank_rate_daily,1872-11-06,1866,2371
bank_rate_daily,1872-11-26,1866,2391
bank_rate_daily,1872-12-11,1866,2406
bank_rate_daily,1873-01-25,1866,2451
bank_rate_daily,1873-03-26,1866,2511
bank_rate_daily,1873-05-05,1866,2551
bank_rate_daily,1873-05-15,1866,2561
bank_rate_daily,1873-07-09,1866,2616
bank_rate_daily,1873-07-24,1866,2631
bank_rate_daily,1873-08-18,1866,2656
bank_rate_daily,1873-09-27,1866,2696
bank_rate_daily,1873-10-17,1866,2716
bank_rate_daily,1873-11-01,1866,2731
bank_rate_daily,1873-11-26,1866,2756
bank_rate_daily,1873-12-06,1866,2766
bank_rate_daily,1874-01-10,1866,2801
bank_rate_daily,1874-04-30,1866,2911
bank_rate_daily,1874-06-04,1866,2946
bank_rate_daily,1874-08-03,1866,3006
bank_rate_daily,1874-08-23,1866,3026
bank_rate_daily,1874-10-12,1866,3076
bank_rate_daily,1874-11-16,1866,3111
bank_rate_daily,1874-12-01,1866,3126
bank_rate_daily,1875-01-05,1866,3161
bank_rate_daily,1875-01-25,1866,3181
bank_rate_daily,1875-02-19,1866,3206
bank_rate_daily,1875-07-09,1866,3346
bank_rate_daily,1875-08-08,1866,3376
bank_rate_daily,1875-10-12,1866,3441
bank_rate_daily,1875-11-16,1866,3476
bank_rate_daily,1876-01-05,1866,3526
bank_rate_daily,1876-01-25,1866,3546
bank_rate_daily,1876-03-25,1866,3606
bank_rate_daily,1876-04-19,1866,3631
bank_rate_daily,1877-05-04,1866,4011
bank_rate_daily,1877-07-08,1866,4076
bank_rate_daily,1877-08-27,1866,4126
bank_rate_daily,1877-10-06,1866,4166
bank_rate_daily,1877-11-30,1866,4221
bank_rate_daily,1878-01-09,1866,4261
bank_rate_daily,1878-01-29,1866,4281
bank_rate_daily,1878-03-25,1866,4336
bank_rate_daily,1878-05-29,1866,4401
bank_rate_daily,1878-07-03,1866,4436
bank_rate_daily,1878-08-12,1866,4476
bank_rate_daily,1878-10-11,1890,4418
bank_rate_daily,1878-11-20,1890,4378
bank_rate_daily,1879-01-14,1890,4323
bank_rate_daily,1879-01-29,1890,4308
bank_rate_daily,1879-03-10,1890,4268
bank_rate_daily,1879-04-09,1890,4238
bank_rate_daily,1879-11-05,1890,4028
bank_rate_daily,1880-06-17,1890,3803
bank_rate_daily,1880-12-09,1890,3628
bank_rate_daily,1881-01-13,1890,3593
bank_rate_daily,1881-02-17,1890,3558
bank_rate_daily,1881-04-28,1890,3488
