canonical_counterparty,ai_counterparty_type,rule_based_type,confidence,classification_reason,evidence_terms,manual_review_required
??Se Sons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A & G W Alexander & Co,unknown,merchant,0.0,no rule matched,[],True
A Bell & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A Cose & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A Dimitris & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A F Schleicher,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A Jackson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A Jarohai,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A Joachim,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A L Crohn,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A Lillen Son & Co,unknown,merchant,0.0,no rule matched,[],True
A Pelly & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A Sellean Son & Co,unknown,merchant,0.0,no rule matched,[],True
A Webber & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A. G. D Costa,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A. Grant Son & Co,unknown,merchant,0.0,no rule matched,[],True
A. Haliener & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A. L. Elder,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A. M. Peebler & Son,unknown,other,0.0,no rule matched,[],True
A. Mongredien & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A. Ralli & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
A. Ruffer & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A. S. Petrie & Co,unknown,merchant,0.0,no rule matched,[],True
A. Salomons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A. Wehmes,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
A.Branwell Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Aberdare Iron Co.,industrial_or_corporate,merchant,0.7,matched rules: industrial_or_corporate,"[""industrial commodity""]",False
Abet Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Abrahamson Lihme & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Absolom Crocker & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Adamson & Ronaldson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Adi Denielrio & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Agra & Mastermans Bank Limited,commercial_bank,commercial_bank,0.95,curated match: Agra & Mastermans Bank — colonial joint-stock,"[""agra & mastermans""]",False
Akmagaroff & Gasparian,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Alex Bell & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Alex Collie & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Alex Webber & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Alexander Cunliffes & Co,bill_broker,merchant,0.95,"curated match: Alexander, Cunliffe & Co. — bill brokers","[""alexander cunliffe""]",False
Alexanders & Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Alexiadi Delta & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Alfred Stram,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Alfred Towgood,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Allen Harvey & Ross,discount_house,other,0.95,curated match: Allen Harvey & Ross — discount house,"[""allen harvey & ross""]",False
Allen Solly & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Alliance Bank Limited,commercial_bank,commercial_bank,0.95,curated match: Alliance Bank — joint-stock bank,"[""alliance bank""]",False
Andrew Jackson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Andy Gibbs & Sons,individual_or_partnership,merchant_bank,0.55,"short bare name, no firm suffix",[],True
Anglo Austrian Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Anglo Egyptian Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Anglo Italian Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Anglo South American Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Angus Mackenzie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Arbuthnot Latham Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
