counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
??Se Sons & Co,??Se Sons & Co,exact,100,False,0
A & G W Alexander & Co,A & G W Alexander & Co,exact,100,False,1
A Bell & Sons,A Bell & Sons,exact,100,False,2
A Cose & Co,A Cose & Co,exact,100,False,3
A Dimitris & Sons,A Dimitris & Sons,exact,100,False,4
A F Schleicher,A F Schleicher,exact,100,False,5
A G Da Costa,A. G. D Costa,rapidfuzz_token_set_ratio,95,False,14
A Jackson & Co,A Jackson & Co,exact,100,False,6
A Jarohai,A Jarohai,exact,100,False,7
A Joachim,A Joachim,exact,100,False,8
A L Crohn,A L Crohn,exact,100,False,9
A Lillen Son & Co,A Lillen Son & Co,exact,100,False,10
A Pelly & Co,A Pelly & Co,exact,100,False,11
A Sellean Son & Co,A Sellean Son & Co,exact,100,False,12
A Webber & Co,A Webber & Co,exact,100,False,13
A. G. D Costa,A. G. D Costa,exact,100,False,14
A. Grant Son & Co,A. Grant Son & Co,exact,100,False,15
A. Haliener & Co,A. Haliener & Co,exact,100,False,16
A. L. Elder,A. L. Elder,exact,100,False,17
A. M. Peebler & Son,A. M. Peebler & Son,exact,100,False,18
A. Mongredien & Co,A. Mongredien & Co,exact,100,False,19
A. Ralli & Co,A. Ralli & Co,exact,100,False,20
A. Ruffer & Sons,A. Ruffer & Sons,exact,100,False,21
A. S. Petrie & Co,A. S. Petrie & Co,exact,100,False,22
A. Salomons,A. Salomons,exact,100,False,23
A. Wehmes,A. Wehmes,exact,100,False,24
A.Branwell Co Ltd,A.Branwell Co Ltd,exact,100,False,25
Aberdare Iron Co.,Aberdare Iron Co.,exact,100,False,26
Abet Brothers,Abet Brothers,exact,100,False,27
Abrahamson Lihme & Co,Abrahamson Lihme & Co,exact,100,False,28
Absolom Crocker & Co,Absolom Crocker & Co,exact,100,False,29
Adamson & Ronaldson,Adamson & Ronaldson,exact,100,False,30
Adi Denielrio & Sons,Adi Denielrio & Sons,exact,100,False,31
Agra & Mastermans Bank Limited,Agra & Mastermans Bank Limited,exact,100,False,32
Akmagaroff & Gasparian,Akmagaroff & Gasparian,exact,100,False,33
Alex Bell & Sons,Alex Bell & Sons,exact,100,False,34
Alex Collie & Co,Alex Collie & Co,exact,100,False,35
Alex Webber & Co,Alex Webber & Co,exact,100,False,36
Alexander Cunliffes & Co,Alexander Cunliffes & Co,exact,100,False,37
Alexanders & Co Ltd,Alexanders & Co Ltd,exact,100,False,38
Alexiadi Delta & Co,Alexiadi Delta & Co,exact,100,False,39
Alfred Stram,Alfred Stram,exact,100,False,40
Alfred Towgood,Alfred Towgood,exact,100,False,41
Allen & Solly,Allen Solly & Co,rapidfuzz_token_set_ratio,100,False,43
Allen Harvey & Ross,Allen Harvey & Ross,exact,100,False,42
Allen Solly & Co,Allen Solly & Co,exact,100,False,43
Alliance Bank Limited,Alliance Bank Limited,exact,100,False,44
Andrew Jackson & Co,Andrew Jackson & Co,exact,100,False,45
Andy Gibbs & Sons,Andy Gibbs & Sons,exact,100,False,46
Anglo Austrian Bank,Anglo Austrian Bank,exact,100,False,47
Anglo Egyptian Bank Limited,Anglo Egyptian Bank Limited,exact,100,False,48
Anglo Egyptian Bank Ltd,Anglo Egyptian Bank Limited,rapidfuzz_token_set_ratio,100,False,48
Anglo Italian Bank Limited,Anglo Italian Bank Limited,exact,100,False,49
Anglo South American Bank Ltd,Anglo South American Bank Ltd,exact,100,False,50
Angus Mackenzie,Angus Mackenzie,exact,100,False,51
Arbuthnot Latham Co,Arbuthnot Latham Co,exact,100,False,52
Arluthrot Ewart & Co,Arluthrot Ewart & Co,exact,100,False,53
Arthur & Co,Arthur & Co Ltd,rapidfuzz_token_set_ratio,100,False,54
Arthur & Co Ltd,Arthur & Co Ltd,exact,100,False,54
Ashby Morris Ltd,Ashby Morris Ltd,exact,100,False,55
Ashton & Co,Ashton & Co,exact,100,False,56
Atfu Heseundes & Co,Atfu Heseundes & Co,exact,100,False,57
Aug: Wehmer,Aug: Wehmer,exact,100,False,58
Aviesim & Co,Aviesim & Co,exact,100,False,59
B Elkin & Sons,B Elkin & Sons,exact,100,False,60
B Halberth & Sons,B Halberth & Sons,exact,100,False,61
B L Lomant,B L Lomant,exact,100,False,62
B S & J Phillips & Co,B S & J Phillips & Co,exact,100,False,63
B Salomons & Sons,B Salomons & Sons,exact,100,False,64
