horizon_weeks,held_out_crisis,feature,coefficient
8,1857,reserve_ratio_level,-1.0126610472197117
8,1857,crisis_lending_level,-0.7858105532085474
8,1857,lending_to_reserve_level,-0.5105339045399863
8,1857,bank_rate_level,0.5939996739271727
8,1857,reserve_ratio_chg_4w,-0.9779236689440507
8,1857,reserve_ratio_chg_8w,1.8010511821978257
8,1857,crisis_lending_pct_4w,-0.373828515211395
8,1857,crisis_lending_pct_8w,1.114726262390214
8,1857,bank_rate_chg_4w,-0.19827957589700224
8,1857,reserve_pct_4w,-0.15875490648324114
8,1857,reserve_pct_8w,-0.6345739085001695
8,1857,z_reserve_ratio,0.5215099141577358
8,1857,z_crisis_lending,1.499944209564407
8,1857,z_lending_to_reserve,-0.5288689867188168
8,1857,z_bank_rate,0.1438055581941216
8,1866,reserve_ratio_level,-1.8971550424536532
8,1866,crisis_lending_level,-1.1079733488793562
8,1866,lending_to_reserve_level,-0.8676901869866772
8,1866,bank_rate_level,0.8720513195514049
8,1866,reserve_ratio_chg_4w,0.18000850167389978
8,1866,reserve_ratio_chg_8w,0.9353379511038519
8,1866,crisis_lending_pct_4w,0.30346646931628574
8,1866,crisis_lending_pct_8w,0.6474351030818776
8,1866,bank_rate_chg_4w,0.5153136905503327
8,1866,reserve_pct_4w,-0.5128615338392661
8,1866,reserve_pct_8w,0.06365762488610462
8,1866,z_reserve_ratio,0.9214922070835987
8,1866,z_crisis_lending,2.367354458542905
8,1866,z_lending_to_reserve,-0.8300612447080168
8,1866,z_bank_rate,-0.5889125024759759
8,1890,reserve_ratio_level,-1.529540326024603
8,1890,crisis_lending_level,0.027395740703417572
8,1890,lending_to_reserve_level,-1.5434636587611594
8,1890,bank_rate_level,2.545951884890998
8,1890,reserve_ratio_chg_4w,-0.010098793430732597
8,1890,reserve_ratio_chg_8w,1.4842220440154283
8,1890,crisis_lending_pct_4w,-0.0426065812915812
8,1890,crisis_lending_pct_8w,1.2599044897156806
8,1890,bank_rate_chg_4w,-0.5268834682214422
8,1890,reserve_pct_4w,-0.5057021938053664
8,1890,reserve_pct_8w,-0.7189111388510352
8,1890,z_reserve_ratio,1.2296758973216737
8,1890,z_crisis_lending,1.0171682831427313
8,1890,z_lending_to_reserve,0.23796726869343304
8,1890,z_bank_rate,-1.90922554523538
8,1914,reserve_ratio_level,1.3213914057295555
8,1914,crisis_lending_level,-5.549162617692532
8,1914,lending_to_reserve_level,0.6773958109895488
8,1914,bank_rate_level,3.4840619881421415
8,1914,reserve_ratio_chg_4w,-0.6650479597553032
8,1914,reserve_ratio_chg_8w,-2.0407807258788466
8,1914,crisis_lending_pct_4w,0.2809146837511547
8,1914,crisis_lending_pct_8w,-1.005768276897529
8,1914,bank_rate_chg_4w,-0.7665466206358632
8,1914,reserve_pct_4w,-1.3172862128995726
8,1914,reserve_pct_8w,1.5228322565777357
8,1914,z_reserve_ratio,-1.0875093981759885
8,1914,z_crisis_lending,5.08119133042682
8,1914,z_lending_to_reserve,-1.9220019999612992
8,1914,z_bank_rate,-1.4450303386051255
12,1857,reserve_ratio_level,-1.274046939010064
12,1857,crisis_lending_level,-0.9186877112411809
12,1857,lending_to_reserve_level,-0.28970012860011957
12,1857,bank_rate_level,0.6769292660909462
12,1857,reserve_ratio_chg_4w,-1.2306687748026437
12,1857,reserve_ratio_chg_8w,2.7808782695126535
12,1857,crisis_lending_pct_4w,-0.2588697095745965
12,1857,crisis_lending_pct_8w,0.9569733782077475
12,1857,bank_rate_chg_4w,-0.4785886119844529
12,1857,reserve_pct_4w,0.4063391097554304
12,1857,reserve_pct_8w,-1.9884722744572776
12,1857,z_reserve_ratio,0.33718372713613953
12,1857,z_crisis_lending,1.693588266306176
12,1857,z_lending_to_reserve,-0.94721049162923
12,1857,z_bank_rate,-0.011908378273340806
12,1866,reserve_ratio_level,-1.7997318736510204
12,1866,crisis_lending_level,-1.1992721927520629
12,1866,lending_to_reserve_level,-0.23908116218811842
12,1866,bank_rate_level,1.2349137539418482
12,1866,reserve_ratio_chg_4w,-0.07535206371770584
12,1866,reserve_ratio_chg_8w,1.6705179632579374
12,1866,crisis_lending_pct_4w,0.3014612921989398
12,1866,crisis_lending_pct_8w,0.3952897685951231
12,1866,bank_rate_chg_4w,0.056228221567978166
12,1866,reserve_pct_4w,0.04065741121043281
12,1866,reserve_pct_8w,-1.1769604012705213
12,1866,z_reserve_ratio,0.3271037742681566
12,1866,z_crisis_lending,2.642087935540804
12,1866,z_lending_to_reserve,-1.782440376653369
12,1866,z_bank_rate,-1.047337956721929
12,1890,reserve_ratio_level,-1.2945838476290101
12,1890,crisis_lending_level,0.11211006734142764
12,1890,lending_to_reserve_level,-1.0756206594237465
12,1890,bank_rate_level,3.0218814268023024
12,1890,reserve_ratio_chg_4w,-0.11004328577322291
12,1890,reserve_ratio_chg_8w,1.9596730972942142
12,1890,crisis_lending_pct_4w,0.24738234998000425
12,1890,crisis_lending_pct_8w,0.8890270054847597
12,1890,bank_rate_chg_4w,-0.7539640446081323
12,1890,reserve_pct_4w,-0.12641659876698952
12,1890,reserve_pct_8w,-1.8226523470058174
12,1890,z_reserve_ratio,0.4478679181671522
12,1890,z_crisis_lending,1.159091736242824
12,1890,z_lending_to_reserve,-0.6431523652989809
12,1890,z_bank_rate,-2.498751909379892
12,1914,reserve_ratio_level,-0.9449155329686989
12,1914,crisis_lending_level,-5.879974124493359
12,1914,lending_to_reserve_level,1.2260758657756743
12,1914,bank_rate_level,1.9244874420183116
12,1914,reserve_ratio_chg_4w,-1.290471396874484
12,1914,reserve_ratio_chg_8w,0.5459255513826688
12,1914,crisis_lending_pct_4w,-0.28203517236827225
12,1914,crisis_lending_pct_8w,-0.7251682740050268
12,1914,bank_rate_chg_4w,-0.5116238159018243
12,1914,reserve_pct_4w,0.292399085336642
12,1914,reserve_pct_8w,-0.3099978496729677
12,1914,z_reserve_ratio,1.0849345226204319
12,1914,z_crisis_lending,4.6562686045886625
12,1914,z_lending_to_reserve,-1.8129629137417984
12,1914,z_bank_rate,-0.45304540026668405
