rule,horizon_weeks,tp,fp,fn,tn,precision,recall,f1,false_alerts_per_decade_quiet,crises_detected,median_lead_weeks_detected,lead_1857_weeks,lead_1866_weeks,lead_1890_weeks,lead_1914_weeks
threshold_score>=80,4,13,798,4,3117,0.016,0.7647,0.0314,91.16,4,2.0,3.0,1.0,3.0,1.0
threshold_score>=80,8,21,790,12,3109,0.0259,0.6364,0.0498,91.16,4,5.5,5.0,6.0,6.0,5.0
threshold_score>=80,12,21,790,28,3093,0.0259,0.4286,0.0488,91.16,4,5.5,5.0,6.0,6.0,5.0
threshold_score>=90,4,9,420,8,3495,0.021,0.5294,0.0404,42.91,4,0.5,3.0,0.0,1.0,0.0
threshold_score>=90,8,15,414,18,3485,0.035,0.4545,0.0649,42.91,4,5.0,5.0,5.0,6.0,5.0
threshold_score>=90,12,15,414,34,3469,0.035,0.3061,0.0628,42.91,4,5.0,5.0,5.0,6.0,5.0
threshold_score>=95,4,5,174,12,3741,0.0279,0.2941,0.051,11.69,3,0.0,1.0,,0.0,0.0
threshold_score>=95,8,6,173,27,3726,0.0335,0.1818,0.0566,11.69,3,1.0,1.0,,6.0,0.0
threshold_score>=95,12,6,173,43,3710,0.0335,0.1224,0.0526,11.69,3,1.0,1.0,,6.0,0.0
persistence_2of4_80,4,12,860,5,3055,0.0138,0.7059,0.027,98.85,4,3.0,3.0,3.0,3.0,0.0
persistence_2of4_80,8,17,855,16,3044,0.0195,0.5152,0.0376,98.85,4,4.5,4.0,5.0,5.0,0.0
persistence_2of4_80,12,17,855,32,3028,0.0195,0.3469,0.0369,98.85,4,4.5,4.0,5.0,5.0,0.0
persistence_3of6_80,4,12,769,5,3146,0.0154,0.7059,0.0301,86.27,4,2.0,3.0,1.0,3.0,0.0
persistence_3of6_80,8,13,768,20,3131,0.0166,0.3939,0.0319,86.27,4,2.0,3.0,1.0,4.0,0.0
persistence_3of6_80,12,14,767,35,3116,0.0179,0.2857,0.0337,86.27,4,3.5,3.0,11.0,4.0,0.0
persistence_6of12_80,4,4,666,13,3249,0.006,0.2353,0.0116,71.03,2,1.0,1.0,,1.0,
persistence_6of12_80,8,4,666,29,3233,0.006,0.1212,0.0114,71.03,2,1.0,1.0,,1.0,
persistence_6of12_80,12,11,659,38,3224,0.0164,0.2245,0.0306,71.03,3,11.0,1.0,11.0,11.0,
ewma_lam=0.2_2sigma,4,1,136,16,3779,0.0073,0.0588,0.013,7.25,1,0.0,0.0,,,
ewma_lam=0.2_2sigma,8,1,136,32,3763,0.0073,0.0303,0.0118,7.25,1,0.0,0.0,,,
ewma_lam=0.2_2sigma,12,1,136,48,3747,0.0073,0.0204,0.0108,7.25,1,0.0,0.0,,,
ewma_lam=0.1_2sigma,4,0,167,17,3748,0.0,0.0,,10.95,0,,,,,
ewma_lam=0.1_2sigma,8,0,167,33,3732,0.0,0.0,,10.95,0,,,,,
ewma_lam=0.1_2sigma,12,0,167,49,3716,0.0,0.0,,10.95,0,,,,,
cusum_k=0.5_h=5,4,3,119,14,3796,0.0246,0.1765,0.0432,10.21,2,0.5,1.0,,,0.0
cusum_k=0.5_h=5,8,4,118,29,3781,0.0328,0.1212,0.0516,10.21,3,1.0,1.0,,4.0,0.0
cusum_k=0.5_h=5,12,4,118,45,3765,0.0328,0.0816,0.0468,10.21,3,1.0,1.0,,4.0,0.0
cusum_k=0.25_h=4,4,5,213,12,3702,0.0229,0.2941,0.0426,20.42,3,3.0,3.0,,3.0,0.0
cusum_k=0.25_h=4,8,6,212,27,3687,0.0275,0.1818,0.0478,20.42,4,3.0,3.0,6.0,3.0,0.0
cusum_k=0.25_h=4,12,7,211,42,3672,0.0321,0.1429,0.0524,20.42,4,4.5,9.0,6.0,3.0,0.0
threshold_seasonal>=80,4,11,762,6,3153,0.0142,0.6471,0.0278,81.98,4,1.0,1.0,1.0,3.0,1.0
threshold_seasonal>=80,8,20,753,13,3146,0.0259,0.6061,0.0496,81.98,4,6.0,6.0,6.0,7.0,5.0
threshold_seasonal>=80,12,25,748,24,3135,0.0323,0.5102,0.0608,81.98,4,8.0,10.0,6.0,11.0,5.0
persistence_3of6_seasonal_80,4,10,727,7,3188,0.0136,0.5882,0.0265,74.43,4,1.0,1.0,1.0,3.0,0.0
persistence_3of6_seasonal_80,8,14,723,19,3176,0.019,0.4242,0.0364,74.43,4,1.0,1.0,1.0,7.0,0.0
persistence_3of6_seasonal_80,12,22,715,27,3168,0.0299,0.449,0.056,74.43,4,6.0,11.0,1.0,11.0,0.0
