rule,crisis,trigger,first_alert_date,lead_weeks,n_alert_weeks_in_pre_window
threshold_score>=80,1857,1857-11-12,1857-10-03,5.0,7
threshold_score>=80,1866,1866-05-11,1866-03-28,6.0,4
threshold_score>=80,1890,1890-11-15,1890-10-01,6.0,7
threshold_score>=80,1914,1914-08-06,1914-07-01,5.0,3
threshold_score>=90,1857,1857-11-12,1857-10-03,5.0,7
threshold_score>=90,1866,1866-05-11,1866-04-04,5.0,2
threshold_score>=90,1890,1890-11-15,1890-10-01,6.0,4
threshold_score>=90,1914,1914-08-06,1914-07-01,5.0,2
threshold_score>=95,1857,1857-11-12,1857-10-31,1.0,3
threshold_score>=95,1866,1866-05-11,,,0
threshold_score>=95,1890,1890-11-15,1890-10-01,6.0,2
threshold_score>=95,1914,1914-08-06,1914-08-01,0.0,1
persistence_2of4_80,1857,1857-11-12,1857-10-10,4.0,6
persistence_2of4_80,1866,1866-05-11,1866-04-04,5.0,4
persistence_2of4_80,1890,1890-11-15,1890-10-08,5.0,6
persistence_2of4_80,1914,1914-08-06,1914-08-01,0.0,1
persistence_3of6_80,1857,1857-11-12,1857-10-17,3.0,5
persistence_3of6_80,1866,1866-05-11,1866-02-21,11.0,3
persistence_3of6_80,1890,1890-11-15,1890-10-15,4.0,5
persistence_3of6_80,1914,1914-08-06,1914-08-01,0.0,1
persistence_6of12_80,1857,1857-11-12,1857-11-04,1.0,2
persistence_6of12_80,1866,1866-05-11,1866-02-21,11.0,4
persistence_6of12_80,1890,1890-11-15,1890-08-27,11.0,5
persistence_6of12_80,1914,1914-08-06,,,0
ewma_lam=0.2_2sigma,1857,1857-11-12,1857-11-11,0.0,1
ewma_lam=0.2_2sigma,1866,1866-05-11,,,0
ewma_lam=0.2_2sigma,1890,1890-11-15,,,0
ewma_lam=0.2_2sigma,1914,1914-08-06,,,0
ewma_lam=0.1_2sigma,1857,1857-11-12,,,0
ewma_lam=0.1_2sigma,1866,1866-05-11,,,0
ewma_lam=0.1_2sigma,1890,1890-11-15,,,0
ewma_lam=0.1_2sigma,1914,1914-08-06,,,0
cusum_k=0.5_h=5,1857,1857-11-12,1857-10-31,1.0,2
cusum_k=0.5_h=5,1866,1866-05-11,,,0
cusum_k=0.5_h=5,1890,1890-11-15,1890-10-15,4.0,1
cusum_k=0.5_h=5,1914,1914-08-06,1914-08-01,0.0,1
cusum_k=0.25_h=4,1857,1857-11-12,1857-09-05,9.0,4
cusum_k=0.25_h=4,1866,1866-05-11,1866-03-28,6.0,1
cusum_k=0.25_h=4,1890,1890-11-15,1890-10-22,3.0,1
cusum_k=0.25_h=4,1914,1914-08-06,1914-08-01,0.0,1
threshold_seasonal>=80,1857,1857-11-12,1857-08-29,10.0,6
threshold_seasonal>=80,1866,1866-05-11,1866-03-28,6.0,4
threshold_seasonal>=80,1890,1890-11-15,1890-08-27,11.0,12
threshold_seasonal>=80,1914,1914-08-06,1914-07-01,5.0,3
persistence_3of6_seasonal_80,1857,1857-11-12,1857-08-22,11.0,7
persistence_3of6_seasonal_80,1866,1866-05-11,1866-05-02,1.0,2
persistence_3of6_seasonal_80,1890,1890-11-15,1890-08-27,11.0,12
persistence_3of6_seasonal_80,1914,1914-08-06,1914-08-01,0.0,1
