counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
Union Discount Co. Of London Ltd,discount_house,0.9,115,10352861.34,1914
Glyn Mills Currie,merchant_bank,0.85,94,10097238.4,1914
London County & Westminster Bank Ltd,clearing_or_joint_stock_bank,0.7,265,9271925.9,1914
B. W .Blydenstein & Co,unknown,0.2,60,7082331.32,1914
National Discount Co.,discount_house,0.9,91,6862189.109999999,1914
Reeves Whitburn & Co,unknown,0.2,67,6174018.93,1914
Alexanders & Co Ltd,unknown,0.2,86,6159278.99,1914
Brightwen & Co,unknown,0.2,72,5720211.72,1914
Overend Gurney & Co,discount_house,0.9,64,5037818.16,"1847,1857,1866"
Smith St Aubyn & Co,bill_broker,0.85,41,4894544.49,1914
Hohler & Co,unknown,0.2,45,4380520.8575,1914
A & G W Alexander & Co,unknown,0.2,51,4337505.385,1857
Lloyd'S Bank Ltd,clearing_or_joint_stock_bank,0.7,73,4051027.05,1914
King & Foa,unknown,0.2,51,3875752.79,1914
Baker Duncombe & Co Ltd,unknown,0.2,47,3677587.4,1914
National Provincial Bk Of England Ltd,clearing_or_joint_stock_bank,0.7,58,3309195.8,1914
Allen Harvey & Ross,discount_house,0.9,61,3087057.8,1914
London & River Plate Bank Ltd,clearing_or_joint_stock_bank,0.7,16,2805472.55,1914
Bruce Buxton & Co,unknown,0.2,46,2641114.25,1847
Natl Bk Of India Ltd,unknown,0.2,34,2594595.35,1914
Union Smiths Bk Ho,unknown,0.2,107,2573360.0,1914
Haarbleicher Schumann,unknown,0.2,39,2280963.92,1914
Bruce Wilkinson & Co,bill_broker,0.85,63,2239566.925,1857
Imperial Ottoman Bank,foreign_or_colonial_financial,0.7,19,2237876.95,1914
Lon Jt Stock Bk,unknown,0.2,48,2215691.65,1914
"Chartered Bank Of India, Austrailia & China",foreign_or_colonial_financial,0.7,22,2175719.51,1914
Anglo South American Bank Ltd,foreign_or_colonial_financial,0.7,39,2166880.925,1914
Comptoir National D'Escompte De Paris,foreign_or_colonial_financial,0.7,31,1901110.55,1914
A & G N Alexander & Co,unknown,0.2,31,1899818.53,1847
R.Cunliffe Sons Co,unknown,0.2,24,1899733.23,1914
Sanderson Sandeman & Co,bill_broker,0.85,38,1781120.29,1857
London & Brazilian Bank,clearing_or_joint_stock_bank,0.4,8,1745684.8499999999,1914
Frith Sands & Co,bill_broker,0.85,50,1730032.0175,"1847,1857,1866"
Hong Kong & Shanghai Banking Corporation,unknown,0.2,24,1617882.8725,1914
