counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
Union Discount Co. Of London Ltd,discount_house,1914,1,115,10352861.3,1,1,1,1.0,0.434,0.0,0.7651
Overend Gurney & Co,discount_house,"1847,1857,1866",3,64,5037818.2,1,1,1,0.4866,0.2415,0.6667,0.7336
National Discount Co.,discount_house,1914,1,91,6862189.1,1,1,1,0.6628,0.3434,0.0,0.6841
Frith Sands & Co,bill_broker,"1847,1857,1866",3,50,1730032.0,1,1,1,0.1671,0.1887,0.6667,0.6617
R Raphael & Sons,merchant_bank,"1847,1857,1866",3,30,693976.3,1,1,1,0.067,0.1132,0.6667,0.6304
Smith St Aubyn & Co,bill_broker,1914,1,41,4894544.5,1,1,1,0.4728,0.1547,0.0,0.6178
Fruhling & Goschen,merchant_bank,"1857,1866,1914",3,13,419378.4,1,1,1,0.0405,0.0491,0.6667,0.6155
Allen Harvey & Ross,discount_house,1914,1,61,3087057.8,1,1,1,0.2982,0.2302,0.0,0.5942
Stern Bros,merchant_bank,"1847,1914",2,47,485518.4,1,1,1,0.0469,0.1774,0.3333,0.586
Bruce Wilkinson & Co,bill_broker,1857,1,63,2239566.9,1,1,1,0.2163,0.2377,0.0,0.5789
J H Schroder & Co,merchant_bank,"1847,1857",2,18,295141.3,1,1,1,0.0285,0.0679,0.3333,0.5659
F Huth & Co,merchant_bank,"1847,1857",2,13,420633.8,1,1,1,0.0406,0.0491,0.3333,0.5655
Bischoffsheim & Goldschmidt,merchant_bank,"1857,1866",2,12,169437.4,1,1,1,0.0164,0.0453,0.3333,0.5601
R. Raphael & Sons,merchant_bank,"1866,1914",2,8,196899.6,1,1,1,0.019,0.0302,0.3333,0.5583
Sanderson Sandeman & Co,bill_broker,1857,1,38,1781120.3,1,1,1,0.172,0.1434,0.0,0.5559
Glyn Mills Currie,merchant_bank,1914,1,94,10097238.4,0,1,1,0.9753,0.3547,0.0,0.5483
C.J.Hambro & Son,merchant_bank,1914,1,29,1286288.1,1,1,1,0.1242,0.1094,0.0,0.5412
Rothschild & Sons,merchant_bank,1847,1,17,1242239.1,1,1,1,0.12,0.0642,0.0,0.5336
F.Huth Co,merchant_bank,1914,1,21,1120477.2,1,1,1,0.1082,0.0792,0.0,0.5335
Eastern Bank Ltd,merchant_bank,1914,1,31,699639.4,1,1,1,0.0676,0.117,0.0,0.5311
Sanderson & Reid,bill_broker,1847,1,25,749764.7,1,1,1,0.0724,0.0943,0.0,0.5286
Gillett Bros & Co,bill_broker,1914,1,17,940985.0,1,1,1,0.0909,0.0642,0.0,0.5278
National Discount Co Of Limited,discount_house,1866,1,10,1115863.7,1,1,1,0.1078,0.0377,0.0,0.5272
National Discount Corporation,discount_house,1857,1,19,775619.5,1,1,1,0.0749,0.0717,0.0,0.5257
B. W .Blydenstein & Co,unknown,1914,1,60,7082331.3,1,1,0,0.6841,0.2264,0.0,0.5208
Alexander Cunliffes & Co,bill_broker,1866,1,5,848266.2,1,1,1,0.0819,0.0189,0.0,0.5192
London Discount Corporation,discount_house,1857,1,23,293016.6,1,1,1,0.0283,0.0868,0.0,0.5187
Alexanders & Co Ltd,unknown,1914,1,86,6159279.0,1,1,0,0.5949,0.3245,0.0,0.5177
Discount Corporation Limited,discount_house,1866,1,11,500000.0,1,1,1,0.0483,0.0415,0.0,0.5159
Wallace Bros & Co Ld,merchant_bank,1914,1,10,419558.1,1,1,1,0.0405,0.0377,0.0,0.5138
Fruhling & Gaschew,merchant_bank,1847,1,15,219600.4,1,1,1,0.0212,0.0566,0.0,0.5127
"Finlay, Hodgeson & Co",merchant_bank,1866,1,13,260994.9,1,1,1,0.0252,0.0491,0.0,0.5124
C J Hambro & Son,merchant_bank,1847,1,16,163819.3,1,1,1,0.0158,0.0604,0.0,0.5122
Finlay Hodgson & Co,merchant_bank,1847,1,15,187381.3,1,1,1,0.0181,0.0566,0.0,0.5121
Consolidated Discount Co Limited,discount_house,1866,1,9,288000.0,1,1,1,0.0278,0.034,0.0,0.5107
Morgan M & Co,merchant_bank,1847,1,15,12743.4,1,1,1,0.0012,0.0566,0.0,0.5087
Hatimal Discount Co Ltd,discount_house,1914,1,3,344192.9,1,1,1,0.0332,0.0113,0.0,0.5083
C I Hambro & Son,merchant_bank,1857,1,8,184145.3,1,1,1,0.0178,0.0302,0.0,0.5081
Finlay Campbell & Co,merchant_bank,1866,1,4,289487.5,1,1,1,0.028,0.0151,0.0,0.5079
David Morgan,merchant_bank,1847,1,13,20414.5,1,1,1,0.002,0.0491,0.0,0.5078
Reeves Whitburn & Co,unknown,1914,1,67,6174018.9,1,1,0,0.5964,0.2528,0.0,0.5072
Absolom Crocker & Co,unknown,"1847,1857,1866",3,94,129663.3,1,1,0,0.0125,0.3547,0.6667,0.5057
Andy Gibbs & Sons,merchant_bank,1866,1,5,135049.3,1,1,1,0.013,0.0189,0.0,0.5054
Morgan Gellibrand & Co,merchant_bank,1866,1,7,31480.1,1,1,1,0.003,0.0264,0.0,0.5046
Wallace Brothers,merchant_bank,1866,1,6,63814.4,1,1,1,0.0062,0.0226,0.0,0.5046
D T Morgan,merchant_bank,1857,1,7,10618.0,1,1,1,0.001,0.0264,0.0,0.5042
Foy Morgan & Co,merchant_bank,1914,1,3,91818.3,1,1,1,0.0089,0.0113,0.0,0.5035
Frith Wallace & Co,merchant_bank,1847,1,4,12020.5,1,1,1,0.0012,0.0151,0.0,0.5025
J. S. Morgan & Co,merchant_bank,1866,1,2,63645.0,1,1,1,0.0061,0.0075,0.0,0.5023
Smith Payne & Smiths,merchant_bank,1857,1,1,50000.0,1,1,1,0.0048,0.0038,0.0,0.5015
Brightwen & Co,unknown,1914,1,72,5720211.7,1,1,0,0.5525,0.2717,0.0,0.5013
Joint Stock Discount Co Limited,discount_house,1866,1,1,25000.0,1,1,1,0.0024,0.0038,0.0,0.501
T Huth Co,merchant_bank,1847,1,1,17247.1,1,1,1,0.0017,0.0038,0.0,0.5009
Raphael & Son,merchant_bank,1847,1,1,11729.3,1,1,1,0.0011,0.0038,0.0,0.5008
J & R Morley,unknown,"1847,1857,1866",3,50,285828.9,1,1,0,0.0276,0.1887,0.6667,0.4838
Bell & Grant,unknown,"1847,1857,1866",3,54,160747.7,1,1,0,0.0155,0.2038,0.6667,0.4837
Schilizzi & Co,unknown,"1847,1857,1866",3,54,160608.7,1,1,0,0.0155,0.2038,0.6667,0.4837
Boutcher Mortimore & Co,unknown,"1847,1857,1866",3,49,223673.8,1,1,0,0.0216,0.1849,0.6667,0.4821
