crisis,actor_category,n_transactions,first_borrow_date,median_borrow_date,peak_week,days_first_vs_official,days_median_vs_official,days_peak_vs_public,earliest_intermediary_flag
1847,bill_broker,30,1847-01-18,1847-06-28,1847-03-14,-280,-119,-261,
1847,clearing_or_joint_stock_bank,23,1847-01-01,1847-05-20,1847-05-16,-297,-158,-198,
1847,discount_house,4,1847-10-05,1847-10-24,1847-10-24,-20,-1,-37,
1847,foreign_or_colonial_financial,2,1847-05-27,1847-06-24,1847-07-25,-151,-123,-128,
1847,merchant_bank,181,1847-01-01,1847-06-18,1847-10-17,-297,-129,-44,earliest_intermediary
1847,unknown,8969,1847-01-01,1847-07-19,1847-09-26,-297,-98,-65,
1857,bill_broker,120,1857-09-03,1857-11-03,1857-11-01,-70,-9,-33,
1857,clearing_or_joint_stock_bank,24,1857-09-04,1857-11-14,1857-11-22,-69,2,-12,
1857,discount_house,98,1857-09-01,1857-11-12,1857-11-15,-72,0,-19,
1857,foreign_or_colonial_financial,6,1857-10-02,1857-11-04,1857-11-01,-41,-8,-33,
1857,merchant_bank,56,1857-09-08,1857-10-29,1857-11-22,-65,-14,-12,earliest_intermediary
1857,unknown,2700,1857-09-01,1857-11-10,1857-11-15,-72,-2,-19,
1866,bill_broker,46,1866-03-02,1866-05-11,1866-05-13,-70,0,2,
1866,clearing_or_joint_stock_bank,77,1866-03-08,1866-05-16,1866-05-13,-64,5,2,
1866,discount_house,35,1866-03-01,1866-03-27,1866-04-01,-71,-45,-40,earliest_intermediary
1866,foreign_or_colonial_financial,67,1866-03-01,1866-05-23,1866-05-13,-71,12,2,
1866,industrial_or_commercial,8,1866-03-27,1866-06-12,1866-06-17,-45,32,37,
1866,merchant_bank,73,1866-03-01,1866-05-11,1866-05-13,-71,0,2,
1866,unknown,2535,1866-03-01,1866-05-11,1866-05-13,-71,0,2,
1914,bill_broker,58,1914-07-25,1914-08-23,1914-08-02,-12,17,-4,earliest_intermediary
1914,clearing_or_joint_stock_bank,879,1914-07-27,1914-09-30,1914-08-23,-10,55,17,
1914,discount_house,270,1914-07-10,1914-08-25,1914-08-02,-27,19,-4,
1914,foreign_or_colonial_financial,279,1914-07-27,1914-09-08,1914-08-23,-10,33,17,
1914,merchant_bank,323,1914-07-04,1914-09-11,1914-08-30,-33,36,24,
1914,unknown,1401,1914-07-03,1914-08-31,1914-08-02,-34,25,-4,
