crisis,window,n_transactions,n_counterparties,top5_share,top10_share,gini,hhi,share_discount_house,share_bill_broker,share_merchant_bank,share_intermediaries,share_clearing_jointstock,share_foreign_colonial
1847,full,9209,1085,0.1986,0.2698,0.8043,135.9,0.0046,0.0211,0.0751,0.1008,0.0036,0.0002
1847,pre_official,7558,993,0.2139,0.2918,0.8049,151.2,0.0033,0.0237,0.08,0.107,0.0041,0.0002
1847,acute_official_on,1651,514,0.164,0.2382,0.663,109.6,0.0143,0.002,0.0394,0.0557,0.0,0.0
1857,full,3004,683,0.4444,0.5293,0.8624,530.8,0.1765,0.1446,0.0404,0.3615,0.0053,0.015
1857,pre_official,1613,508,0.457,0.5334,0.8552,527.6,0.1774,0.2045,0.0441,0.4261,0.0031,0.0241
1857,acute_official_on,1391,473,0.4491,0.5446,0.841,723.7,0.1753,0.0644,0.0354,0.2751,0.0082,0.0029
1866,full,2841,634,0.1823,0.2839,0.7984,131.8,0.0836,0.0816,0.068,0.2332,0.1434,0.1042
1866,pre_official,1357,433,0.2122,0.3352,0.7672,170.5,0.122,0.0766,0.0783,0.2768,0.0495,0.0752
1866,acute_official_on,1484,492,0.2025,0.3515,0.8075,172.7,0.0624,0.0844,0.0623,0.2091,0.1954,0.1203
1914,full,3210,231,0.2742,0.4458,0.8106,276.6,0.1296,0.0366,0.1224,0.2887,0.1709,0.097
1914,pre_official,275,65,0.4052,0.6348,0.6856,514.2,0.1637,0.0925,0.0352,0.2914,0.0104,0.095
1914,acute_official_on,2935,220,0.2934,0.4442,0.8019,293.2,0.1223,0.0246,0.1412,0.2881,0.2055,0.0974
