crisis,month,articles,crisis_articles,share
1847,1847-04,4018,923,0.2297162767546043
1847,1847-05,3852,993,0.25778816199376947
1847,1847-06,3561,860,0.2415051951698961
1847,1847-07,3546,928,0.2617033276931754
1847,1847-08,2522,611,0.2422680412371134
1847,1847-09,2476,732,0.2956381260096931
1847,1847-10,2506,982,0.39185953711093374
1847,1847-11,2864,866,0.3023743016759777
1847,1847-12,2704,740,0.27366863905325445
1847,1848-01,2973,689,0.23175243861419442
1857,1857-05,5760,851,0.14774305555555556
1857,1857-06,6354,821,0.12920994649039974
1857,1857-07,6406,865,0.13502965969403685
1857,1857-08,6119,878,0.14348749795718255
1857,1857-09,6188,952,0.15384615384615385
1857,1857-10,6010,1101,0.18319467554076538
1857,1857-11,5320,1240,0.23308270676691728
1857,1857-12,6054,1309,0.21622068054179056
1857,1858-01,3312,616,0.1859903381642512
1857,1858-02,2680,603,0.225
1866,1865-11,3234,678,0.20964749536178107
1866,1865-12,3516,793,0.22554038680318544
1866,1866-01,3785,812,0.21453104359313077
1866,1866-02,3277,693,0.21147390906316754
1866,1866-03,3681,750,0.20374898125509372
1866,1866-04,3282,715,0.2178549664838513
1866,1866-05,3868,945,0.24431230610134436
1866,1866-06,3692,871,0.23591549295774647
1866,1866-07,3972,819,0.20619335347432025
1866,1866-08,3891,857,0.22025186327422255
1873,1873-05,178,34,0.19101123595505617
1873,1873-06,260,39,0.15
1873,1873-07,297,41,0.13804713804713806
1873,1873-08,321,52,0.16199376947040497
1873,1873-09,343,57,0.1661807580174927
1873,1873-10,284,53,0.18661971830985916
1873,1873-11,327,43,0.13149847094801223
1873,1873-12,297,41,0.13804713804713806
1873,1874-01,440,62,0.1409090909090909
1873,1874-02,439,59,0.13439635535307518
