counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
Union Discount Co. Of London Ltd,discount_house,1914,1,115,10352861.3,0.7651,no
Overend Gurney & Co,discount_house,"1847,1857,1866",3,64,5037818.2,0.7336,no
National Discount Co.,discount_house,1914,1,91,6862189.1,0.6841,no
Frith Sands & Co,bill_broker,"1847,1857,1866",3,50,1730032.0,0.6617,no
R Raphael & Sons,merchant_bank,"1847,1857,1866",3,30,693976.3,0.6304,no
Smith St Aubyn & Co,bill_broker,1914,1,41,4894544.5,0.6178,no
Fruhling & Goschen,merchant_bank,"1857,1866,1914",3,13,419378.4,0.6155,yes
Allen Harvey & Ross,discount_house,1914,1,61,3087057.8,0.5942,no
Stern Bros,merchant_bank,"1847,1914",2,47,485518.4,0.586,yes
Bruce Wilkinson & Co,bill_broker,1857,1,63,2239566.9,0.5789,no
J H Schroder & Co,merchant_bank,"1847,1857",2,18,295141.3,0.5659,no
F Huth & Co,merchant_bank,"1847,1857",2,13,420633.8,0.5655,no
Bischoffsheim & Goldschmidt,merchant_bank,"1857,1866",2,12,169437.4,0.5601,no
R. Raphael & Sons,merchant_bank,"1866,1914",2,8,196899.6,0.5583,yes
Sanderson Sandeman & Co,bill_broker,1857,1,38,1781120.3,0.5559,no
Glyn Mills Currie,merchant_bank,1914,1,94,10097238.4,0.5483,no
C.J.Hambro & Son,merchant_bank,1914,1,29,1286288.1,0.5412,no
Rothschild & Sons,merchant_bank,1847,1,17,1242239.1,0.5336,no
F.Huth Co,merchant_bank,1914,1,21,1120477.2,0.5335,no
Eastern Bank Ltd,merchant_bank,1914,1,31,699639.4,0.5311,no
Sanderson & Reid,bill_broker,1847,1,25,749764.7,0.5286,no
Gillett Bros & Co,bill_broker,1914,1,17,940985.0,0.5278,no
National Discount Co Of Limited,discount_house,1866,1,10,1115863.7,0.5272,no
National Discount Corporation,discount_house,1857,1,19,775619.5,0.5257,no
B. W .Blydenstein & Co,unknown,1914,1,60,7082331.3,0.5208,no
Alexander Cunliffes & Co,bill_broker,1866,1,5,848266.2,0.5192,no
London Discount Corporation,discount_house,1857,1,23,293016.6,0.5187,no
Alexanders & Co Ltd,unknown,1914,1,86,6159279.0,0.5177,no
