node,role,group
Bank of England,Control Committee chair; 10% of the risk,rescuer
English & Scottish clearing banks,Control Committee; ~90% of the risk,rescuer
Control Committee ('the lifeboat'),governs entry and support,structure
related banks,each monitors one rescued company,structure
London & County Securities,"trigger case, Nov 1973",rescued
Stern Group,"collapse over £100m, 1974",rescued
First National Finance Corp.,large finance company,rescued
United Dominions Trust,large finance company,rescued
Slater Walker,Bank's own-account rescue (1977),rescued
(26 secondary banks in total),vetted recipients,rescued
