institution,actor_type,n_periods,degree,weighted_degree,eigenvector_centrality,betweenness_centrality
Union Discount Co.,discount house,5,13,19,0.4942,0.5202
Barings,acceptance house,3,7,10,0.3604,0.0055
National Discount Co.,discount house,2,7,10,0.3604,0.0055
Rothschilds,acceptance house,2,7,10,0.3604,0.0055
Frühling & Göschen,acceptance house,2,6,8,0.3052,0.0
Stern Bros,acceptance house,2,6,8,0.3052,0.0
"Overend, Gurney & Co.",discount house,3,6,6,0.2293,0.0
Gerrard & National,discount house,2,6,7,0.1666,0.0
Kleinwort & Co.,acceptance house,1,4,4,0.1653,0.0
"Seccombe, Marshall & Campion",discount house,2,7,7,0.1209,0.3824
Cater Allen,discount house,1,6,6,0.1197,0.0
King & Shaxson,discount house,1,6,6,0.1197,0.0
Alexanders Discount,discount house,1,6,6,0.1197,0.0
Clive Discount,discount house,1,6,6,0.1197,0.0
Big Five clearing banks,clearing bank,2,4,4,0.0132,0.3088
London & County Securities,secondary bank,1,3,3,0.0018,0.0
First National Finance,secondary bank,1,3,3,0.0018,0.0
United Dominions Trust,secondary bank,1,3,3,0.0018,0.0
