variant,crisis,pre_avg_crisis_lending,pre_avg_bank_rate,acute_peak_crisis_lending,acute_peak_bank_rate,scale_ratio,penalty_rate_delta,days_to_peak_lending,days_to_first_rate_rise
baseline_12m_acute,1857,11.403,6.059,24.994,10.0,2.192,3.941,55,9
baseline_12m_acute,1866,13.787,5.529,31.627,10.0,2.294,4.471,29,8
baseline_12m_acute,1890,17.943,4.462,38.863,6.0,2.166,1.538,60,11
baseline_12m_acute,1914,21.318,3.902,112.008,10.0,5.254,6.098,37,5
baseline_6m_acute,1857,11.249,6.0,24.994,10.0,2.222,4.0,55,9
baseline_6m_acute,1866,13.043,6.84,31.627,10.0,2.425,3.16,29,8
baseline_6m_acute,1890,18.816,4.0,38.863,6.0,2.065,2.0,60,11
baseline_6m_acute,1914,24.041,3.038,112.008,10.0,4.659,6.962,37,5
acute_plus_2w,1857,11.403,6.059,24.994,10.0,2.192,3.941,55,9
acute_plus_2w,1866,13.787,5.529,31.627,10.0,2.294,4.471,29,8
acute_plus_2w,1890,17.943,4.462,38.863,6.0,2.166,1.538,60,11
acute_plus_2w,1914,21.318,3.902,112.008,10.0,5.254,6.098,37,5
acute_minus_2w,1857,11.403,6.059,24.994,10.0,2.192,3.941,55,16
acute_minus_2w,1866,13.787,5.529,31.627,10.0,2.294,4.471,29,15
acute_minus_2w,1890,17.943,4.462,33.563,6.0,1.871,1.538,18,18
acute_minus_2w,1914,21.318,3.902,112.008,5.0,5.254,1.098,37,16
acute_plus_1m,1857,11.403,6.059,24.994,10.0,2.192,3.941,55,9
acute_plus_1m,1866,13.787,5.529,31.627,10.0,2.294,4.471,29,8
acute_plus_1m,1890,17.943,4.462,38.863,6.0,2.166,1.538,60,11
acute_plus_1m,1914,21.318,3.902,118.076,10.0,5.539,6.098,93,5
acute_minus_1m,1857,11.403,6.059,24.994,10.0,2.192,3.941,55,30
acute_minus_1m,1866,13.787,5.529,31.627,10.0,2.294,4.471,29,29
acute_minus_1m,1890,17.943,4.462,26.853,6.0,1.497,1.538,32,32
acute_minus_1m,1914,21.318,3.902,112.008,5.0,5.254,1.098,37,30
